Fill-in-the-Blank Task,Answer
"When you're playing a video game, and the computer needs to know if you're pressing any keys on your keyboard right now, it uses a special command called [MASK]!",getasynckeystate
"When a computer program needs to find and call a specific function, it asks for help from something called ""[MASK]"" to get the exact address of that function and make everything work like magic!",ldrgetprocedureaddress
Imagine you have a magical wand that can pause time for a few seconds to finish your homework quicker. This magical spell in the computer world is called [MASK]. What is the name of this spell?,ntdelayexecution
"When you finish using a toy and want to put it away, you might use a special ""command"" to tell your room to close the toy box. In the world of computers, when a program finishes using a file and wants to close it, it uses a special Windows API command called [MASK].",ntclose
Imagine you want to find which flavor of ice cream we should have from a big book of ice cream flavors stored on your computer. You use a special magic spell that searches for the name of the flavor and gives you the answer. This magic spell is called [MASK].,regqueryvalueexw
"In a magical computer world, there are tiny workers called ""threads"" that help your programs run smoothly. One clever helper tool can find and show you the next worker in line so you can keep track of them. This tool's name is [MASK]. What's the name of this handy tool?",thread32next
"When your computer wants to read information from a file quietly and quickly, it uses a special helper called [MASK] to get the job done.",ntreadfile
Imagine you have a special key that can open a magical door to a secret room full of important settings in your computer. What is the name of the special key that we use in Windows to open this magical door? It's called [MASK]!,regopenkeyexw
"In a game of tag, the ""IT"" player needs to find the next person to tag. In a Windows computer, there's a special helper that finds the next process (or program) running on the computer, just like finding the next player. This helper is called [MASK].",process32nextw
"When you want to know fun details about how big your computer screen is or how many buttons your mouse has, you use a special tool in Windows called [MASK].",getsystemmetrics
Imagine you are a wizard in a magical computer world and you need to create a new spell to build an invisible room in your computer's memory where you can store special items. This magical spell is known as [MASK].,ntallocatevirtualmemory
"When you're done playing with your toy box, you need to close the lid to keep everything inside safe. In a computer, there is a special function that does the same thing with important settings stored in the registry. What is the name of this Windows API function that closes the ""lid"" on the registry key after you're done using it? [MASK]",regclosekey
Let's say there is a magical function that can tell you exactly where your computer mouse pointer is on the screen. This function is called [MASK]!,getcursorpos
"When you play hide and seek, you need to find the first friend hiding before you can look for others. There's a special helper in Windows computers that starts looking for the first file, just like you searching for your first hidden friend. This magical helper is called [MASK]. Can you guess its name?",findfirstfileexw
"When you're playing a video game and you press a key on the keyboard, there's a magical function in the computer that checks which key you pressed. This magical function is called [MASK].",getkeystate
Imagine you are a secret agent who needs to open a top-secret file on a computer. The special tool you use to create or open this secret file is called [MASK].,ntcreatefile
"Imagine your computer is like a big library, and you need a special tool to find all the books in a certain section. There's this magical tool called [MASK] that helps you list out all the book titles in one go. What is the name of this magical tool?",ntquerydirectoryfile
"When your computer wants to save new information to a file, it uses a special helper called [MASK] to write the data. What is the name of this helper?",ntwritefile
"When a Windows computer is like a big puzzle, and you need to find a special puzzle piece to help your program run, you would use a special helper called [MASK] to get that piece. What is this helper's name?",ldrgetdllhandle
"When your computer needs to use a special set of instructions to do something cool, it calls a magic helper named [MASK] to load those instructions so they can be used. What is the name of this magic helper?",ldrloaddll
"When a computer wants to peek into what another program is thinking, it uses a special tool called [MASK] to read its mind!",readprocessmemory
